Player,Position,Team,Opp.,PaCom,PaAtt,PaYds,PaTD,PaINT,RuAtt,RuYds,RuTD,Fum.,Tar,Rec,ReYds,ReTD,FPTS
Xavier Worthy,WR,KC,,0,0,0,0,0,16,87.3,1.7,,104.6,68.5,883.4,6.5,180.5
DK Metcalf,WR,PIT,,0,0,0,0,0,0,0,0,,124.5,74.5,1041,6.2,178.6
Tony Pollard,RB,TEN,,0,0,0,0,0,214.2,919.2,5,,54.4,40.8,273.9,1,175.7
Jameson Williams,WR,DET,,0,0,0,0,0,10.9,73.9,0.8,,106.3,64.4,1009.3,5.5,178.3
Courtland Sutton,WR,DEN,,0,0,0,0,0,0,0,0,,119.1,71.4,945.3,7.7,176.4
Kyler Murray,QB,ARZ,,352.1,522.1,3676.2,21.6,12.1,85,552.7,4.8,,0,0,0,0,348.6
Isiah Pacheco,RB,KC,,0,0,0,0,0,195.4,833,6,,45.5,36.9,256.8,1.5,172.4
Brock Purdy,QB,SF,,339.4,506.7,4182.2,24.4,12.2,55.8,243.8,3.7,,0,0,0,0,348.1
Rashee Rice,WR,KC,,0,0,0,0,0,1.6,8.6,0,,110.3,83.3,966.5,6.1,175.8
Aaron Jones Sr.,RB,MIN,,0,0,0,0,0,173.6,768.3,4.3,,56.5,43.9,329,2.1,170.1
DeVonta Smith,WR,PHI,,0,0,0,0,0,1,4,0,,107.4,79.4,949.6,6.1,171.7
Tetairoa McMillan,WR,CAR,,0,0,0,0,0,1,4.1,0,,120.1,74.5,991.1,5.8,171.6
Jaylen Waddle,WR,MIA,,0,0,0,0,0,4.5,24.7,0.1,,111.8,78.5,984.7,5,170.8
Joe Mixon,RB,HOU,,0,0,0,0,0,177,738.9,7.3,,38.6,29.2,232,1.4,163.9
Dak Prescott,QB,DAL,,370.3,554.4,4099.6,26.8,11.8,46.2,185.2,1.8,,0,0,0,0,342.3
Brian Robinson Jr.,RB,WAS,,0,0,0,0,0,195.5,829.5,7.7,,28.2,22.9,173.9,0.9,163.4
Calvin Ridley,WR,TEN,,0,0,0,0,0,4.9,28.2,0,,122.9,65.7,972.9,6.1,169.6
Jaylen Warren,RB,PIT,,0,0,0,0,0,148.7,648,4,,64.4,50.8,370.3,1.9,162.6
Zay Flowers,WR,BAL,,0,0,0,0,0,7.2,42.5,0.1,,105.5,68.5,949.1,5.8,168.8
Evan Engram,TE,DEN,,0,0,0,0,0,1,3,0,,95.5,70.7,649.5,3.3,120.4
Tucker Kraft,TE,GB,,0,0,0,0,0,0,0,0,,83.5,58.5,665.3,4.1,120.4
George Pickens,WR,DAL,,0,0,0,0,0,2,9.9,0,,106.8,65.7,946.2,6.6,168.1
Travis Hunter,WR,JAX,,0,0,0,0,0,5.2,30.3,0.1,,112,74.1,917.4,5.8,167.2
Tyrone Tracy Jr.,RB,NYG,,0,0,0,0,0,183.9,794.5,4.6,,46.2,34.2,259.8,1.1,156.7
Colston Loveland,TE,CHI,,0,0,0,0,0,0,0,0,,85.2,57.7,630.5,4.2,117.1
Rome Odunze,WR,CHI,,0,0,0,0,0,2.5,13.9,0,,111.3,65.7,906.4,6.3,162.7
Tyler Warren,TE,IND,,0,0,0,0,0,4.2,17.8,0.1,,80.7,54.8,594.3,4.5,116.2
Cam Skattebo,RB,NYG,,0,0,0,0,0,172.2,734.3,4.5,,44.8,35.2,257.7,1.2,151
Jerry Jeudy,WR,CLE,,0,0,0,0,0,1,3.9,0,,121.6,77.6,1016.3,3.2,160
Chris Olave,WR,NO,,0,0,0,0,0,0,0,0,,121.2,78.6,967.4,3.9,159.4
Jordan Mason,RB,MIN,,0,0,0,0,0,191.9,881.3,5.5,,25.7,19.6,143.6,0.4,147.7
Dallas Goedert,TE,PHI,,0,0,0,0,0,1.4,5.8,0,,73.3,57.4,612.3,3.7,112.7
Jared Goff,QB,DET,,371.8,547,4215.8,27.7,12.4,30.6,50.4,0.9,,0,0,0,0,332.9
Jauan Jennings,WR,SF,,0,0,0,0,0,0,0,0,,104,68.1,926.7,5.1,157.3
Dalton Kincaid,TE,BUF,,0,0,0,0,0,0,0,0,,82.7,53.8,613.5,3.8,111.1
Deebo Samuel,WR,WAS,,0,0,0,0,0,27.6,139.2,1.7,,87.1,56.6,773.9,4.2,155
Caleb Williams,QB,CHI,,330.4,524,3686.3,23.8,12.4,74.6,430.1,1.7,,0,0,0,0,331.1
Jakobi Meyers,WR,LV,,0,0,0,0,0,2,9.9,0,,109.7,76.6,871.6,4.7,154.7
Ricky Pearsall,WR,SF,,0,0,0,0,0,2.1,15.3,0,,104.5,67.2,928.8,4.2,153.2
Jake Ferguson,TE,DAL,,0,0,0,0,0,0,0,0,,85.2,59.8,576.3,3.7,109.7
Travis Etienne Jr.,RB,JAX,,0,0,0,0,0,138.8,571.1,3.5,,55.5,42.1,324.1,1.2,138.8
Stefon Diggs,WR,NE,,0,0,0,0,0,1.6,10.3,0,,107.6,75.4,870.1,4.5,152.7
Justin Herbert,QB,LAC,,356.9,543.4,3929,23.7,11.5,61.3,260.5,2.6,,0,0,0,0,329.5
Jordan Addison,WR,MIN,,0,0,0,0,0,1.6,9.3,0,,105.8,65.6,828.9,5.9,152
Justin Fields,QB,NYJ,,286.1,453.9,3175.3,16.7,11.4,145.1,743.2,6.5,,0,0,0,0,329.1
J.J. McCarthy,QB,MIN,,340.8,528.1,3757.9,26.2,12.8,54.9,229.1,1.9,,0,0,0,0,329
Drake Maye,QB,NE,,335.9,510.3,3561.9,22.3,12.7,78.2,497.5,2.6,,0,0,0,0,328.9
Hunter Henry,TE,NE,,0,0,0,0,0,0,0,0,,77.4,52.6,556.3,4.4,108.3
Matthew Golden,WR,GB,,0,0,0,0,0,0,0,0,,100.5,60.5,838,5.7,148.3
Jordan Love,QB,GB,,333.6,517.9,3871.5,26,12.2,40,149.9,1.9,,0,0,0,0,325.1
Zach Ertz,TE,WAS,,0,0,0,0,0,0,0,0,,76.8,54.1,511.3,4.6,105.8
Tank Bigsby,RB,JAX,,0,0,0,0,0,172.6,747.8,6,,23.1,17.1,120,0.2,132.5
Khalil Shakir,WR,BUF,,0,0,0,0,0,1.5,7.3,0,,97.6,73,823.7,4.5,146.6
Jayden Reed,WR,GB,,0,0,0,0,0,15.3,107.5,1,,82.6,56.6,716.4,4.8,145.5
J.K. Dobbins,RB,DEN,,0,0,0,0,0,144.7,639.5,4.6,,35.9,28.4,192.2,1,131
Chris Godwin,WR,TB,,0,0,0,0,0,1.4,8.2,0,,89.8,66.5,772.6,5.4,143.7
Isaiah Likely,TE,BAL,,0,0,0,0,0,0,0,0,,62,42.8,507.3,5.2,103.3
Rhamondre Stevenson,RB,NE,,0,0,0,0,0,158.7,656.2,5.3,,29.5,22.5,154.4,0.8,128.9
Michael Pittman Jr.,WR,IND,,0,0,0,0,0,0,0,0,,110.1,72.8,851.5,3.5,142.6
Emeka Egbuka,WR,TB,,0,0,0,0,0,2.5,17.3,0,,95.1,60.5,779.6,5.4,142.3
Tyjae Spears,RB,TEN,,0,0,0,0,0,125.5,527.2,3.5,,49.7,38.2,283.6,1.1,127.8
Darnell Mooney,WR,ATL,,0,0,0,0,0,1.5,8.7,0.1,,100.6,60.8,834,4.4,141.7
Chig Okonkwo,TE,TEN,,0,0,0,0,0,0,0,0,,76.6,54.4,557.8,3.2,102.2
Quinshon Judkins,RB,CLE,,0,0,0,0,0,153.9,636.5,3.9,,34.5,27.4,199.3,1,126.7
Trevor Lawrence,QB,JAX,,346.6,537.5,3875,21.4,12.9,57.9,270.7,3.5,,0,0,0,0,318.6
Brenton Strange,TE,JAX,,0,0,0,0,0,0,0,0,,79.1,56.1,541.8,3.2,101.4
Keon Coleman,WR,BUF,,0,0,0,0,0,1,3.8,0,,86.5,48.5,755.9,6.4,138.6
Mike Gesicki,TE,CIN,,0,0,0,0,0,0,0,0,,70.8,52,504.1,3.7,98.6
Brandon Aubrey,K,DAL,,0,0,0,0,0,0,0,0,,0,0,0,0,186.9
Chase McLaughlin,K,TB,,0,0,0,0,0,0,0,0,,0,0,0,0,185.6
Cameron Dicker,K,LAC,,0,0,0,0,0,0,0,0,,0,0,0,0,184.9
Denver Broncos,DST,DEN,,0,0,0,0,0,0,0,0,,0,0,0,0,122.7
Jake Bates,K,DET,,0,0,0,0,0,0,0,0,,0,0,0,0,180.8
Wil Lutz,K,DEN,,0,0,0,0,0,0,0,0,,0,0,0,0,179.6
Minnesota Vikings,DST,MIN,,0,0,0,0,0,0,0,0,,0,0,0,0,119.9
Houston Texans,DST,HOU,,0,0,0,0,0,0,0,0,,0,0,0,0,119.4
Baltimore Ravens,DST,BAL,,0,0,0,0,0,0,0,0,,0,0,0,0,118.5
Pittsburgh Steelers,DST,PIT,,0,0,0,0,0,0,0,0,,0,0,0,0,118.4
Harrison Butker,K,KC,,0,0,0,0,0,0,0,0,,0,0,0,0,175.8
Buffalo Bills,DST,BUF,,0,0,0,0,0,0,0,0,,0,0,0,0,117
Tyler Bass,K,BUF,,0,0,0,0,0,0,0,0,,0,0,0,0,174.8
Chris Boswell,K,PIT,,0,0,0,0,0,0,0,0,,0,0,0,0,174
Philadelphia Eagles,DST,PHI,,0,0,0,0,0,0,0,0,,0,0,0,0,116.1
Detroit Lions,DST,DET,,0,0,0,0,0,0,0,0,,0,0,0,0,115.9
Seattle Seahawks,DST,SEA,,0,0,0,0,0,0,0,0,,0,0,0,0,115.2
Evan McPherson,K,CIN,,0,0,0,0,0,0,0,0,,0,0,0,0,172.4
Tyler Loop,K,BAL,,0,0,0,0,0,0,0,0,,0,0,0,0,171.2
Dallas Cowboys,DST,DAL,,0,0,0,0,0,0,0,0,,0,0,0,0,113.4
C.J. Stroud,QB,HOU,,339.2,526,4011.3,22.6,11.9,49.1,221.6,1.3,,0,0,0,0,314.1
Zach Charbonnet,RB,SEA,,0,0,0,0,0,130.4,554.9,4.2,,42.2,33.5,241.4,0.6,125.2
Cooper Kupp,WR,SEA,,0,0,0,0,0,1.8,9.3,0,,93.6,62.4,740.1,4.5,133.1
Josh Downs,WR,IND,,0,0,0,0,0,1,4.2,0,,101.7,68.1,765.8,3.4,131.5
Jayden Higgins,WR,HOU,,0,0,0,0,0,0,0,0,,89.4,56.7,768.4,4.2,130.4
Rashid Shaheed,WR,NO,,0,0,0,0,0,5.6,33.9,0.1,,88.9,52.5,772.5,3.6,129.1
Rachaad White,RB,TB,,0,0,0,0,0,116.9,496,3,,37.4,31.5,234.5,1.8,117.6
Javonte Williams,RB,DAL,,0,0,0,0,0,127,505.1,4,,37.7,28.8,197,1.1,115.2
Marvin Mims Jr.,WR,DEN,,0,0,0,0,0,13.6,74.7,0.6,,72.1,46.4,622.7,4.6,124.1
Cedric Tillman,WR,CLE,,0,0,0,0,0,0,0,0,,96.2,56.6,723.9,3.3,120.5
Najee Harris,RB,LAC,,0,0,0,0,0,134.7,548,4.6,,25.6,19.8,136.2,0.9,111.3
Christian Kirk,WR,HOU,,0,0,0,0,0,1.2,4.9,0.1,,84.7,53.9,686.5,3.8,119.5
Luther Burden III,WR,CHI,,0,0,0,0,0,5.9,34.8,0.1,,82.4,53.7,638.4,3.8,117.6
Joshua Karty,K,LAR,,0,0,0,0,0,0,0,0,,0,0,0,0,165.4
Chad Ryland,K,ARZ,,0,0,0,0,0,0,0,0,,0,0,0,0,163.5
Brandon McManus,K,GB,,0,0,0,0,0,0,0,0,,0,0,0,0,164.5
Trey Benson,RB,ARZ,,0,0,0,0,0,125.2,547.8,3.5,,26.5,20.6,150.3,0.9,106.5
Rashod Bateman,WR,BAL,,0,0,0,0,0,1,4.2,0,,70,44.2,615.1,4.6,111.6
Harrison Mevis,K,NYJ,,0,0,0,0,0,0,0,0,,0,0,0,0,152.9
Marquise Brown,WR,KC,,0,0,0,0,0,0,0,0,,80.4,46.7,618.9,3.9,108.6
Jerome Ford,RB,CLE,,0,0,0,0,0,110,482.7,2.5,,37.5,29.5,201.9,0.6,101.8
Jaydon Blue,RB,DAL,,0,0,0,0,0,124.8,528,2.9,,28.2,21.9,155.5,0.7,100.9
Tua Tagovailoa,QB,MIA,,355.2,521.9,4020.5,25.3,12.4,31.3,90.9,0.8,,0,0,0,0,314.1
Brandon Aiyuk,WR,SF,,0,0,0,0,0,1.4,8.5,0,,65.2,41.1,604,3.6,103.4
Austin Ekeler,RB,WAS,,0,0,0,0,0,62,278.2,2.7,,42.5,35,292.9,1.4,99.2
Braelon Allen,RB,NYJ,,0,0,0,0,0,127.5,535.1,3,,25,18.4,134.7,0.4,96.6
Geno Smith,QB,LV,,356.3,533.2,3860.2,20.6,12.6,53,252.1,1.8,,0,0,0,0,301.4
Matthew Stafford,QB,LAR,,346.8,532.3,4031.8,25.4,12.5,28.5,47.2,0.7,,0,0,0,0,310.1
Ray Davis,RB,BUF,,0,0,0,0,0,122.4,514.1,3.9,,16.3,13.1,103.4,0.5,94.7
Joshua Palmer,WR,BUF,,0,0,0,0,0,0,0,0,,71,45.9,580.6,3.6,102.6
Tyler Allgeier,RB,ATL,,0,0,0,0,0,119.3,527.7,3.8,,15.5,13.1,99,0.4,94.4
Romeo Doubs,WR,GB,,0,0,0,0,0,0,0,0,,70.6,44.3,545.1,3.9,100.1
Bhayshul Tuten,RB,JAX,,0,0,0,0,0,107,466.2,2.9,,27.3,20.9,154,0.5,92.9
Bryce Young,QB,CAR,,333.1,525.6,3530.9,20,12.5,50.3,283.3,3.1,,0,0,0,0,295.7
Jonnu Smith,TE,PIT,,0,0,0,0,0,3.3,12.2,0,,68.5,49.8,513.5,3.2,96.7
Elijah Arroyo,TE,SEA,,0,0,0,0,0,0,0,0,,69.6,48,513.1,3.6,96.9
Kyle Williams,WR,NE,,0,0,0,0,0,1.8,7.3,0,,68,43.8,567.9,3.2,98.6
Younghoe Koo,K,ATL,,0,0,0,0,0,0,0,0,,0,0,0,0,167.8
Mason Taylor,TE,NYJ,,0,0,0,0,0,0,0,0,,71.9,50.1,522,3.1,95.9
Los Angeles Rams,DST,LAR,,0,0,0,0,0,0,0,0,,0,0,0,0,113.1
Adam Thielen,WR,CAR,,0,0,0,0,0,0,0,0,,70.5,52,533.1,3.2,98.5
