Player,Position,Team,Opp.,PaCom,PaAtt,PaYds,PaTD,PaINT,RuAtt,RuYds,RuTD,Fum.,Tar,Rec,ReYds,ReTD,FPTS
Jaylin Noel,WR,HOU,,0,0,0,0,0,0,0,0,,58.6,37,457,2.9,81.6
Las Vegas Raiders,DST,LV,,0,0,0,0,0,0,0,0,,0,0,0,0,95.8
Tennessee Titans,DST,TEN,,0,0,0,0,0,0,0,0,,0,0,0,0,95.5
Diontae Johnson,WR,CLE,,0,0,0,0,0,1.1,4.3,0,,67.6,36.8,454,2.8,81
Theo Johnson,TE,NYG,,0,0,0,0,0,0,0,0,,57.7,39.8,427.4,2.4,77
Tyler Lockett,WR,TEN,,0,0,0,0,0,0.9,3.4,0,,57,37,417.2,2.9,78
MarShawn Lloyd,RB,GB,,0,0,0,0,0,77.9,317.4,2.1,,24.1,18.5,131.9,0.8,71.6
Sam Darnold,QB,SEA,,314.1,480.1,3462.7,19.8,11.8,54.3,192.3,1.6,,0,0,0,0,274.3
Blake Corum,RB,LAR,,0,0,0,0,0,89.4,371.3,2.8,,15.3,12.5,89.6,0.3,70.9
Carolina Panthers,DST,CAR,,0,0,0,0,0,0,0,0,,0,0,0,0,92.6
Dyami Brown,WR,JAX,,0,0,0,0,0,0,0,0,,53,33.7,426.7,2.3,73.3
Cole Kmet,TE,CHI,,0,0,0,0,0,0,0,0,,51,39.7,366.7,2.7,72.7
Kareem Hunt,RB,KC,,0,0,0,0,0,70.8,282.8,2.8,,16.4,12.8,84.6,0.7,64.1
Jalen Coker,WR,CAR,,0,0,0,0,0,0,0,0,,51.1,33.7,412.7,2.4,72.5
Tutu Atwell,WR,LAR,,0,0,0,0,0,3.7,20.3,0,,50.1,31.8,392.2,1.8,68
Will Shipley,RB,PHI,,0,0,0,0,0,70.1,296.3,2.2,,17.8,14,101.7,0.3,61.8
Woody Marks,RB,HOU,,0,0,0,0,0,52.5,222.1,1.4,,26.1,20.1,146.3,1,61.3
Jarquez Hunter,RB,LAR,,0,0,0,0,0,73.1,315.9,2.3,,14.8,9.9,72.6,0.3,59.4
Calvin Austin III,WR,PIT,,0,0,0,0,0,2.5,13.6,0.1,,50.3,30.2,384,2,67.5
Pat Bryant,WR,DEN,,0,0,0,0,0,0,0,0,,47.6,30,367,2.4,66.1
Terrance Ferguson,TE,LAR,,0,0,0,0,0,0,0,0,,45.7,31.5,318.7,2.5,62.6
Elic Ayomanor,WR,TEN,,0,0,0,0,0,0,0,0,,51.7,31.3,385.5,1.9,65.6
Justice Hill,RB,BAL,,0,0,0,0,0,30.1,137,0.8,,31.4,23.9,196.6,1.1,56.7
Adonai Mitchell,WR,IND,,0,0,0,0,0,3.3,18.1,0,,50.9,27.1,366.8,2.1,64.6
Dontayvion Wicks,WR,GB,,0,0,0,0,0,0,0,0,,48.3,26,354.9,2.5,63.5
Noah Gray,TE,KC,,0,0,0,0,0,0,0,0,,41.4,31.9,307.4,2.3,60.5
Jalen Royals,WR,KC,,0,0,0,0,0,0,0,0,,39.6,25.5,328.7,2.4,60
Jacory Croskey-Merritt,RB,WAS,,0,0,0,0,0,54.2,229.2,1.9,,19,15.2,104.5,0.3,54.2
Tyler Higbee,TE,LAR,,0,0,0,0,0,0,0,0,,44.5,31.3,295.8,2.3,59
Brashard Smith,RB,KC,,0,0,0,0,0,54.5,228.1,1.5,,18.6,14.5,103.5,0.4,51.8
Harold Fannin Jr.,TE,CLE,,0,0,0,0,0,0,0,0,,42.3,30.2,310.9,1.7,56.4
Nick Westbrook-Ikhine,WR,MIA,,0,0,0,0,0,0,0,0,,41.3,23.8,329.7,2.4,59.3
Josh Reynolds,WR,NYJ,,0,0,0,0,0,0.8,3,0,,41.2,25.4,319.1,2.3,58.7
Tyler Conklin,TE,LAC,,0,0,0,0,0,0,0,0,,41.4,29,282.6,2.1,55.4
Kyle Monangai,RB,CHI,,0,0,0,0,0,64.4,262.6,2.1,,11.6,7.7,52.5,0.2,49.2
Jalen Tolbert,WR,DAL,,0,0,0,0,0,0,0,0,,41.6,25.4,308.5,2.2,56.8
Ben Sinnott,TE,WAS,,0,0,0,0,0,1,3.6,0,,36.9,26.5,266.2,2.2,53.4
Roman Wilson,WR,PIT,,0,0,0,0,0,0,0,0,,42.8,27,314.7,1.9,56.4
Devaughn Vele,WR,DEN,,0,0,0,0,0,0,0,0,,39.8,27.1,298.7,2.1,56
Jalen Nailor,WR,MIN,,0,0,0,0,0,1,6.5,0,,41.5,24.9,296.2,2.1,55.3
Malik Washington,WR,MIA,,0,0,0,0,0,4.7,26.4,0.1,,36,24,287,1.7,54.1
